,node1,node2,relation
505,Wisconsin,School Athletics Ban,transgender
506,Wisconsin,Republican Ohio,vetoed
507,Wisconsin,Democratic Governor Vetoes,’s
508,Wisconsin,Radical Pivot,decries
509,Tony Evers,Republican Ohio,vetoed
510,Republican Ohio,Missouri,wants
511,Foul,Missouri,wants
512,Homophobic Legislator,Missouri,wants
513,Tennessee State,Missouri,is in
514,Tennessee State,Dark History,is with
515,Best Buy,Conservative,funding LGBTQ groups because
516,Best Buy,Lgbtq,funding
517,Gov,Anti-Gay Bill,Vetoes
518,Anti-Gay Bill,Girls,Protect
519,Wisconsin,Liberal Democrat,has
520,Anti-Gay Bill,Athletes,Protect Girls Sports from
521,Of Hitler,Lawsuit,is In
522,Kanye West,Of Hitler,speaking of
523,Clark,Uconn,once dreamed of
524,Clark,Freshman Year,has
525,Final,Final,off cap is
526,Michigan,Surrogacy,decriminalize
527,Gov,Royal Oak,described act at
528,Gov,Common Sense,described act as
529,Karine Jean Pierre,Trans,slams misinformation on
530,Karine Jean Pierre,Wing Extremists,slams
531,Health Secretary,Joe Biden,skewered
532,Joe Biden,Transgender,over
533,Health Secretary,S Beach,skewered outrage In
534,Elon Musk,Psychological Safety,appoints
535,Elon Musk,New Safety Chiefs,appoints
536,Trans,White House,One in
537,Trans,Knew,Was
538,James Carville,Joe Biden,reacted to
539,James Carville,Transgender,reacted to
540,Democratic Incumbent,Transgender,reacted to
541,Democratic Incumbent, Broadcast,reacted On
542,Democratic Incumbent,Joe Biden,reacted to
543,James Carville, Broadcast,reacted On
544,James Carville,Easter,reacted to
545,Democratic Incumbent,Easter,reacted to
546,Newsnation,Cuomo,of
547,Wisconsin,Democratic Incumbent,has
548,Wisconsin,Anti-Transgender Sports Bill,has vetoed
549,Wisconsin,Sports,has vetoed
550,Uganda,Lgbtq,’s
551,Appeals Court,Anti-Gay Legislation,uphold
552,Constitutional Court  Decision,Anti-Gay Legislation,uphold
553,Uganda,Appeals Court,condemned
554,Uganda,Constitutional Court  Decision,condemned
555,Uganda,Anti-Gay Legislation,upheld
556,Uganda,Appeals Court,’s
557,Human Rights Campaign,Hilton,expects
558,Hilton,Southern California,cancel
559,Wing Extremists,Anti-Lgbtq Bills,figure behind
560,Goran Stolevski,Macedonia,is tale about
561,Goran Stolevski,Cautionary Tale,is
562,Ugandan,Anti-Gay Legislation,upholds
563,Uganda,Anti-Gay Legislation,has
564,Transgender,Easter,Public Anger over
565,Transgender,Anger,Dismisses
566,Joe Biden,Public  Opposition,dismissed
567,Christianity,Easter,during
568,Joe Biden,Top Transgender Appointee,has
569,Cardiff,Lgbtq,host
570,Wales,Europe,host
571,Europe,Lgbtq,’s
572,Donald Trump,Mark Burns,announced
573,North Carolina,Oklahoma District,for
574,Olds,Drag Queens,Can Perform in
575,Face,Lgbtq,sponsors
576,Olds,Breitbart,appeared on
577,Melania Trump,Joe Biden,awkwardly blames
578,Joe Biden,Trans,’s
579,Melania Trump,Republican National Committee,co-chair of
580,Joe Biden,Transgender Rights,’s
581,Detransitioner Crashes Disney Shareholder Meeting,Body,Blames Company for
582,Disney,Shareholder Meeting,has
583,Patricia Highsmith,Tom Ripley,’s
584,Gay Bar,Pressure,call for
585,Lgbt Community,Uganda,mount
586,Ugandan,Lgbt Community,asked
587,Transgender Rights,Lgbt Community,asked
588,Ugandan Gay Rights,Lgbt Community,asked
589,Magda Eriksson,Emma Hayes,Shocked By
590,Conservative,St. Louis Area,handed loss in
591,School Board Members,Humiliating Loss,handed
592,School Board Members,St. Louis Area,handed loss in
593,Conservative,Humiliating Loss,handed
594,Hunt,Mp,praises
595,Scotland,Hate Crime,has
596,Guardianship System,Human Rights Campaign,denies
597,Guardianship System,Transgender Rights,denies
598,Guardianship System,Transgender Women,denies
599,Central Event,Saudi Arabia,going to
600,Headlines,Sports,are
601,Headlines,Grade School Libraries,are
602,Israel,Gaza,will let
603,Israel,Joe Biden,will let
604,Steven Kabuye,Social Media,of
605,Marks,Steven Kabuye,reads
606,Anti-Homosexuality,Uganda,has legalized homophobia in
607,U.S. Constitution,Independence,Declaration of
608,James Carville,Christian Ziegler,is preferred version of
609,Sex Workers,Florida,sunk
610,Sex Workers,Beloved Career,sunk
611,Trans Harvard Professor,Taylor Swift,Boasts
612,Harvard,New Orleans,is boasting about
613,Trans,Taylor Swift,Boasts
614,Ella Matthes,March,died at_time
615,Lindsey Horan,Shebelieves,sends USA into
616,Lindsey Horan,Usa,sends
617,Death Penalty,Japan,give
618,77Th Minute Penalty,Japan,give
619,Lindsey Horan,Death Penalty,converts
620,Lindsey Horan,77Th Minute Penalty,converts
621,Lgbtq,American Library Association,drove book efforts According
622,Lgbtq,Debut Book,drove
623,Lgbtq,Child Pornography,ARRESTED for
624,Roy Trey Farmer,Bachelor  Degree,holds
625,Bachelor  Degree,Classical Philosophy,is in
626,Jamie Dimon,Annual Letter,from
627,Vatican,Unique Dignity,condemns surgery as
628,Chaya Milchtein,Automotive Knowledge,Is Using
629,Youth Camp Teaching Children,Genderless Drag Stars,be
630,Lgbt,Genderless Drag Stars,be
631,Youth Camp Teaching Children,Drag Queens,be
632,Lgbt,Drag Queens,be
633,Marketing,Relevance,Is
634,Inclusive,Relevance,Is
635,World  Transgender Clinic,Germany,was
636,World ,Germany,was
637,World ,Jewish Doctor,was
638,World  Transgender Clinic,Jewish Doctor,was
639,Naziism,20Th Century,swept Germany in
640,Naziism,Rampant Wickedness,is because
641,Naziism,Germany,swept
642,The Advocate,Jake Shears,has
643,The Advocate,Equalpride,goes with
644,The Advocate,Equalpride  Iconic Publications,goes with
645,Vatican,Human Life,declared surgery as
646,Vatican,Grave Violations,declared as
647,God,Human Life,’s
648,Melania Trump,Rare Fundraising Appearance,Makes
649,Gay Bar,Scary,Says
650,Jerrod Carmichael,Dave Chappelle,Calls
651,Jerrod Carmichael,Egomaniac,Calls
652,Gay Bar,Breitbart,Still Scary for
653,Vatican,Surgery,Condemns
654,Surgery,Surrogacy,Vatican
655,Vatican,Gender Affirming Surgery,Condemns
656,Surgery,Gender Theory,Vatican
657,Pope Francis,Gender Theory,rejected
658,Vatican,Gender Theory,rejected
659,Bomb Threats,Catholic Teachings,is with
660,Dei,New Orleans,needs
661,Dei,Amherst,needs approach
662,New Orleans,Radical Pivot,DEI
663,Louisiana,Transgender Bathroom Bill,’s
664,Transgender,Louisiana,is in
665,Locker Rooms,Gender Identity,correspond with
666,Naia,Sports,bans women from
667,Naia,Transgender Women,bans
668,Pflag National,New Orleans,has rolled out
669,Trans,Netball,banned from
670,Netball,Elite Women  Competition,bans women from
671,International Level Women,Immediate Effect,from
672,Netball,Transgender Women,bans
673,Elite Women  Competition,Immediate Effect,is with
674,Sherrod Brown,Mental Health,Focuses On
675,Pflag National,North Carolina,University of
676,Russian Authorities,Russian,is in
677,Meta,New Orleans,about
678,Content Creators,Meta,concern about
679,Scientific American’S,Dark History,has
680,Lgbtq,Death Penalty,receive
681,Pressure,Rough Clampdown,rethink
682,Trans Latina Meraxes Medina,Los Angeles,killed in
683,Russia,Gay Bar,warns Duolingo about
684,Russia,Duolingo,warns
685,Duolingo,Educational Materials,check
686,Joe Biden,Lgbtq,engage
687,Joe Biden,Joe Biden,rally LGBTQ community in
688,U.S. Aid,Soccer Fans,’s
689,U.S. Aid,Team,’s
690,Korbin Albert,Social Media,over
691,Climate Change,Trans,incomes of
692,Trans,Indonesia,is in
693,Ridiculous,Independent,is in
694,Climate Change,Sex Workers,hitting
695,Climate Change,Indonesian,hitting
696,Independent,Uk,is in
697,Netball,International Competition,bans
698,Netball,Transgender,bans
699,Transgender,Elite Women  Competition,is in
700,Transgender,New Orleans,is with
701,Giselle Byrd,Center Stage,is taking
702,Victoria Atkins,Gender,criticises culture in
703,Lgbtq,Monkey Man,are celebrating
704,Of India,Lgbt Community,of
705,Dev Patel,Monkey Man,has
706,Lgbtq,Dev Patel,are celebrating
707,American Library Association,Library Books,has come out with
708,Tennessee,Transgender,get
709,Outdoor,Major Sponsor,has
710,Outdoor,Lgbt,has
711,Outdoor,Lgbt Youth,has
712,Apparel Company,Major Sponsor,has
713,Apparel Company,Lgbt,has
714,Apparel Company,Lgbt Youth,has
715,Southern California,Transgender Sanctuary Law,has
716,Lesbians,Transgender Women,have
717,Lgbtq,Arlington,is in
718,Freddie,Anonymous Bomb T,had
719,Freddie,Bomb Threats,had
720,Freddie,Lgbtq,’s Bar is
721,Freddie,Arlington,establishment in
722,Freddie,Gay Bar,’s
723,Appeals Court,Nation,hears
724,Appeals Court,Ban On,hears
725,Hilary Cass,Final,released
726,Hilary Cass,Nhs,released
